TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Transubtil Rec Showcase #11 - KANALOA,1 year ago,424,35,"6,762",24
Dr Fractal - Red Spicy,1 year ago,,,,
Dr Fractal - Red Spicy,1 year ago,167,12,"4,050",7
Dr Fractal - Levitate,1 year ago,126,9,"3,059",3
Dr Fractal & The Horrids - Bad Dreams,1 year ago,126,9,"3,037",6
Dr Fractal & Karev - Semi Organic,1 year ago,128,6,"2,682",3
Dr Fractal - Hive Circus,1 year ago,98,7,"2,192",3
Red Spicy Ep - Dr Fractal Mini Mix,1 year ago,459,36,"8,580",35
Transubtil Rec showcase # 10 - ZEO (Live set presentation),2 years ago,"1,121",108,18.4K,150
Transubtil Rec Showcase #09 - AKHABA,2 years ago,160,25,"2,463",5
Strange Creatures Collective EP,2 years ago,,,,
Dr Fractal & The Horrids - Collective Madness,2 years ago,167,13,"3,302",7
Earthworm & Dr Fractal - Strange Dimensions,2 years ago,118,10,"2,347",9
The Horrids & Earthworm - Distorded Creatures,2 years ago,229,11,"4,280",17
"Dr Fractal , The Horrids & Earthworm - Strange Creatures Collective",2 years ago,997,76,18.5K,33
Transubtil Rec showcase # 08 - KANALOA,2 years ago,270,30,"3,604",27
'DIVERGENT POLARITY' mixed by The Horrids | Release Tease | Transubtil Records Presents | 28/03/2023,2 years ago,613,67,"9,319",20
1 - Radikal Moodz   Thelios - Rasengan 148 Bpm,2 years ago,"1,490",65,31.8K,44
1 - N3XU5- Breath To Wind (Dendrophile Remix) 148 Bpm,2 years ago,98,7,"2,515",
2 - Shred'er & Creepy Deep - Mechanic Mood 150 Bpm,2 years ago,278,32,"5,330",13
4 - The Horrids & Yabba Dabba - Golden Gorilla 152 Bpm,2 years ago,691,44,12.4K,20
3 - Sense Datum & Lurker - Beast On A Leash- 150 Bpm,2 years ago,81,9,"1,753",
5 - Omja & Awwen - Fritter Juice - 150 Bpm,2 years ago,187,17,"3,133",9
6 - Mojo's Ears - Antistatic 153 Bpm,2 years ago,226,13,"3,746",15
7 - Dr Fractal   Igor Lse - Heavy Movements  155,2 years ago,78,8,"1,718",2
8 - Kythera - Armageddon Deluxe 153 Bpm,2 years ago,357,26,"6,566",9
9 - Aztec Dosage - Bim Bam Boum 158 Bpm,2 years ago,60,7,"1,240",
Divergent Polarity Cd2 Compiled by The Horrids,2 years ago,,,,
2 - Synkronic - Take A Breath 148 Bpm,2 years ago,90,7,"2,483",4
3 - OxyFlux   Radikal Moodz - Fancy Footwork (Juggerknot Remix) 148 Bpm,2 years ago,172,13,"4,891",5
4 - La Marquise- Cookies 148 Bpm,2 years ago,94,10,"2,633",2
5 - Hypnospores - Transubstance 150 Bpm,2 years ago,84,7,"1,727",2
